symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-05-12 00:00:00+00:00,311.41,319.69,310.91,317.83,40575263,76.44188867,78.47438229,76.31915354,78.01780763,162301052,0,1
AAPL,2020-05-13 00:00:00+00:00,307.65,315.95,303.21,312.15,50155639,75.51892055,77.55632357,74.42903267,76.62353665,200622556,0,1
AAPL,2020-05-14 00:00:00+00:00,309.54,309.79,301.53,304.51,39732269,75.98285931,76.04422687,74.01664266,74.74814398,158929076,0,1
AAPL,2020-05-15 00:00:00+00:00,307.71,307.9,300.21,300.35,41587094,75.53364876,75.58028811,73.69262193,73.72698777,166348376,0,1
AAPL,2020-05-18 00:00:00+00:00,314.96,316.5,310.32,313.17,33843125,77.31330803,77.69133221,76.1743261,76.8739163,135372500,0,1
AAPL,2020-05-19 00:00:00+00:00,313.14,318.52,313.01,315.03,25432385,76.86655219,78.1871821,76.83464106,77.33049095,101729540,0,1
AAPL,2020-05-20 00:00:00+00:00,319.23,319.52,316.52,316.68,27876215,78.36146597,78.43265235,77.69624161,77.73551685,111504860,0,1
AAPL,2020-05-21 00:00:00+00:00,316.85,320.89,315.87,318.66,25672211,77.77724679,78.76894658,77.53668595,78.22154794,102688844,0,1
AAPL,2020-05-22 00:00:00+00:00,318.89,319.23,315.35,315.77,20450754,78.27800609,78.36146597,77.40904143,77.51213893,81803016,0,1
AAPL,2020-05-26 00:00:00+00:00,316.73,324.24,316.5,323.5,31380454,77.74779036,79.5912719,77.69133221,79.40962392,125521816,0,1
AAPL,2020-05-27 00:00:00+00:00,318.11,318.71,313.09,316.14,28236274,78.0865393,78.23382145,76.85427868,77.60296292,112945096,0,1
AAPL,2020-05-28 00:00:00+00:00,318.25,323.44,315.63,316.77,33449103,78.12090514,79.3948957,77.4777731,77.75760917,133796412,0,1
AAPL,2020-05-29 00:00:00+00:00,317.94,321.15,316.47,319.25,38399532,78.04480936,78.83276884,77.6839681,78.36637538,153598128,0,1
AAPL,2020-06-01 00:00:00+00:00,321.85,322.35,317.21,317.75,20254653,79.00459801,79.12733314,77.86561608,77.99817001,81018612,0,1
AAPL,2020-06-02 00:00:00+00:00,323.34,323.44,318.93,320.75,21910704,79.37034868,79.3948957,78.2878249,78.73458075,87642816,0,1
AAPL,2020-06-03 00:00:00+00:00,325.12,326.2,322.3,324.66,26122804,79.80728571,80.07239357,79.11505962,79.6943694,104491216,0,1
AAPL,2020-06-04 00:00:00+00:00,322.32,325.62,320.78,324.39,21890091,79.11996903,79.93002083,78.74194485,79.62809243,87560364,0,1
AAPL,2020-06-05 00:00:00+00:00,331.5,331.75,323.23,323.35,34312550,81.37338587,81.43475343,79.34334695,79.37280338,137250200,0,1
AAPL,2020-06-08 00:00:00+00:00,333.46,333.6,327.32,330.25,23913634,81.85450755,81.88887338,80.34732025,81.06654806,95654536,0,1
AAPL,2020-06-09 00:00:00+00:00,343.99,345.61,332.01,332.14,36928091,84.43930921,84.83697101,81.49857569,81.53048682,147712364,0,1
AAPL,2020-06-10 00:00:00+00:00,352.84,354.77,346.09,347.9,41662938,86.61172087,87.08547844,84.95479673,85.39909787,166651752,0,1
AAPL,2020-06-11 00:00:00+00:00,335.9,351.06,335.48,349.31,50415613,82.45345494,86.17478384,82.35035744,85.74521091,201662452,0,1
AAPL,2020-06-12 00:00:00+00:00,338.8,347.8,334.22,344.72,50036513,83.16531865,85.37455084,82.04106493,84.61850249,200146052,0,1
AAPL,2020-06-15 00:00:00+00:00,342.99,345.68,332.58,333.25,34702230,84.19383897,84.85415393,81.63849373,81.80295879,138808920,0,1
AAPL,2020-06-16 00:00:00+00:00,352.08,353.2,344.72,351.46,41357182,86.42516349,86.70009016,84.61850249,86.27297194,165428728,0,1
AAPL,2020-06-17 00:00:00+00:00,351.59,355.4,351.09,355.15,28601626,86.30488307,87.2401247,86.18214795,87.17875714,114406504,0,1
AAPL,2020-06-18 00:00:00+00:00,351.73,353.45,349.22,351.41,24205096,86.3392489,86.76145772,85.72311859,86.26069842,96820384,0,1
AAPL,2020-06-19 00:00:00+00:00,349.72,356.56,345.15,354.64,66118952,85.84585371,87.52487018,84.7240547,87.05356731,264475808,0,1
AAPL,2020-06-22 00:00:00+00:00,358.87,359.46,351.15,351.34,33861316,88.09190644,88.23673389,86.19687616,86.24351551,135445264,0,1
